Area Code4,Geography3,Area.x,Por_18,Bungalow_Total,Por_19,Flat/Maisonette_Total,Por_20,Terraced_House_Total,Por_21,Semi_detached_House_Total,Por_22,Detached_House_Total,Por_23,Annexe,Por_24,Other1,Por_25,Unknown2,Total,1,Area.y,AREA_NAME,BP_PRE_1900,Por_1,BP_1900_1918,Por_2,BP_1919_1929,Por_3,BP_1930_1939,Por_4,Por_14,BP_1945_1954,Por_5,BP_1955_1964,Por_6,BP_1965_1972,Por_7,Por_15,BP_1973_1982,Por_8,BP_1983_1992,Por_9,BP_1993_1999,Por_10,Por_16,BP_2000_2009,Por_11,BP_2010_2015,Por_12,BP_UNKNOWN,Por_13,Por_17,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC,MODE2_VAL,MODE2_TYPE,MODE2_PC,MODE2_MODE1_RATIO
E01000001,LSOA,City of London 001A,0,0,0.99047619,1040,0.00952381,10,0,0,0,0,0,0,0,0,0,0,1050,LSOA,City of London 001A,City of London 001A,60,0.054545455,1,0.000909091,0,0,0,0,0,0,0,50,0.045454545,840,0.763636364,0.809090909,10,0.009090909,0,0,50,0.045454545,0.054545454,80,0.072727273,0,0,10,0.009090909,0.081818182,1100,840,BP_1965_1972,0.76,80,BP_2000_2009,0.07,0.1
E01000002,LSOA,City of London 001B,0,0,0.960629921,1220,0.039370079,50,0,0,0,0,0,0,0,0,0,0,1270,LSOA,City of London 001B,City of London 001B,10,0.008403361,0,0,0,0,0,0,0,0,0,70,0.058823529,910,0.764705882,0.823529411,1,0.000840336,10,0.008403361,0,0,0.009243697,0,0,200,0.168067227,1,0.000840336,0.168907563,1190,910,BP_1965_1972,0.76,200,BP_2010_2015,0.17,0.22
E01000003,LSOA,City of London 001C,0,0,1,910,0,0,0,0,0,0,0,0,0,0,0,0,910,LSOA,City of London 001C,City of London 001C,20,0.021978022,0,0,0,0,0,0,0,0,0,20,0.021978022,780,0.857142857,0.879120879,1,0.001098901,0,0,60,0.065934066,0.067032967,40,0.043956044,0,0,1,0.001098901,0.045054945,910,780,BP_1965_1972,0.86,60,BP_1993_1999,0.07,0.08
E01000005,LSOA,City of London 001E,0,0,1,690,0,0,0,0,0,0,0,0,0,0,0,0,690,LSOA,City of London 001E,City of London 001E,90,0.132352941,1,0.001470588,1,0.001470588,20,0.029411765,0.030882353,1,0.001470588,140,0.205882353,110,0.161764706,0.369117647,170,0.25,70,0.102941176,0,0,0.352941176,10,0.014705882,70,0.102941176,1,0.001470588,0.119117646,680,170,BP_1973_1982,0.25,140,BP_1955_1964,0.21,0.82
E01000006,LSOA,Barking and Dagenham 016A,0,0,0.264150943,140,0.716981132,380,0,0,0,0,0,0,0,0,0,0,530,LSOA,Barking and Dagenham 016A,Barking and Dagenham 016A,40,0.075471698,20,0.037735849,170,0.320754717,140,0.264150943,0.58490566,30,0.056603774,0,0,0,0,0.056603774,0,0,0,0,130,0.245283019,0.245283019,10,0.018867925,1,0.001886792,0,0,0.020754717,530,170,BP_1919_1929,0.32,140,BP_1930_1939,0.26,0.82
E01000007,LSOA,Barking and Dagenham 015A,0,0,0.851351351,630,0.148648649,110,0,0,0,0,0,0,0,0,0,0,740,LSOA,Barking and Dagenham 015A,Barking and Dagenham 015A,20,0.021052632,1,0.001052632,20,0.021052632,60,0.063157895,0.084210527,0,0,60,0.063157895,110,0.115789474,0.178947369,0,0,20,0.021052632,80,0.084210526,0.105263158,240,0.252631579,320,0.336842105,10,0.010526316,0.6,950,320,BP_2010_2015,0.34,240,BP_2000_2009,0.25,0.75
E01000008,LSOA,Barking and Dagenham 015B,0,0,0.962264151,510,0,0,0.037735849,20,0,0,0,0,0,0,0,0,530,LSOA,Barking and Dagenham 015B,Barking and Dagenham 015B,0,0,0,0,0,0,0,0,0,0,0,0,0,530,1,1,0,0,0,0,0,0,0,1,0.001886792,0,0,0,0,0.001886792,530,530,BP_1965_1972,1,1,BP_2000_2009,0,0
E01000009,LSOA,Barking and Dagenham 016B,0,0,0.523076923,340,0.476923077,310,0,0,0,0,0,0,0,0,0,0,650,LSOA,Barking and Dagenham 016B,Barking and Dagenham 016B,60,0.090909091,230,0.348484848,50,0.075757576,50,0.075757576,0.151515152,10,0.015151515,0,0,0,0,0.015151515,50,0.075757576,50,0.075757576,60,0.090909091,0.242424243,90,0.136363636,10,0.015151515,0,0,0.151515151,660,230,BP_1900_1918,0.35,90,BP_2000_2009,0.14,0.39
E01000010,LSOA,Barking and Dagenham 015C,0,0,0.867768595,1050,0.132231405,160,0,0,0,0,0,0,0,0,0,0,1210,LSOA,Barking and Dagenham 015C,Barking and Dagenham 015C,10,0.008196721,170,0.139344262,60,0.049180328,120,0.098360656,0.147540984,140,0.114754098,60,0.049180328,10,0.008196721,0.172131147,1,0.000819672,0,0,0,0,0.000819672,640,0.524590164,1,0.000819672,1,0.000819672,0.526229508,1220,640,BP_2000_2009,0.52,170,BP_1900_1918,0.14,0.27
E01000011,LSOA,Barking and Dagenham 016C,0,0,0.276595745,130,0.680851064,320,0.042553191,20,0,0,0,0,0,0,0,0,470,LSOA,Barking and Dagenham 016C,Barking and Dagenham 016C,160,0.340425532,290,0.617021277,10,0.021276596,1,0.00212766,0.023404256,0,0,0,0,0,0,0,0,0,1,0.00212766,1,0.00212766,0.00425532,0,0,0,0,1,0.00212766,0.00212766,470,290,BP_1900_1918,0.62,160,BP_PRE_1900,0.34,0.55
E01000012,LSOA,Barking and Dagenham 015D,0,0,0.7,490,0.3,210,0,0,0,0,0,0,0,0,0,0,700,LSOA,Barking and Dagenham 015D,Barking and Dagenham 015D,70,0.1,50,0.071428571,1,0.001428571,40,0.057142857,0.058571428,1,0.001428571,10,0.014285714,30,0.042857143,0.058571428,0,0,350,0.5,1,0.001428571,0.501428571,150,0.214285714,0,0,0,0,0.214285714,700,350,BP_1983_1992,0.5,150,BP_2000_2009,0.21,0.43
E01000013,LSOA,Barking and Dagenham 013A,0,0,0.092307692,60,0.876923077,570,0.030769231,20,0,0,0,0,0,0,0,0,650,LSOA,Barking and Dagenham 013A,Barking and Dagenham 013A,0,0,0,0,620,0.939393939,20,0.03030303,0.969696969,1,0.001515152,0,0,0,0,0.001515152,0,0,1,0.001515152,0,0,0.001515152,0,0,20,0.03030303,1,0.001515152,0.031818182,660,620,BP_1919_1929,0.94,20,BP_2010_2015,0.03,0.03
E01000014,LSOA,Barking and Dagenham 013B,0,0,0.134328358,90,0.835820896,560,0.029850746,20,0,0,0,0,0,0,0,0,670,LSOA,Barking and Dagenham 013B,Barking and Dagenham 013B,0,0,0,0,600,0.895522388,1,0.001492537,0.897014925,1,0.001492537,0,0,0,0,0.001492537,50,0.074626866,10,0.014925373,0,0,0.089552239,0,0,0,0,0,0,0,670,600,BP_1919_1929,0.9,50,BP_1973_1982,0.07,0.08
E01000015,LSOA,Barking and Dagenham 009A,0,0,0.313953488,270,0.662790698,570,0.034883721,30,0,0,0,0,0,0,0,0,860,LSOA,Barking and Dagenham 009A,Barking and Dagenham 009A,0,0,0,0,600,0.697674419,0,0,0.697674419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0.302325581,0,0,0,0,0.302325581,860,600,BP_1919_1929,0.7,260,BP_2000_2009,0.3,0.43
E01000016,LSOA,Barking and Dagenham 009B,0,0,0.0625,40,0.9375,600,0,0,0,0,0,0,0,0,0,0,640,LSOA,Barking and Dagenham 009B,Barking and Dagenham 009B,0,0,0,0,630,0.984375,10,0.015625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0015625,0,0,0,0,0.0015625,640,630,BP_1919_1929,0.98,10,BP_1930_1939,0.02,0.02
E01000017,LSOA,Barking and Dagenham 009C,0,0,0.088235294,60,0.867647059,590,0.029411765,20,0,0,0,0,0,0,0,0,680,LSOA,Barking and Dagenham 009C,Barking and Dagenham 009C,0,0,0,0,650,0.955882353,0,0,0.955882353,0,0,0,0,0,0,0,0,0,20,0.029411765,0,0,0.029411765,1,0.001470588,1,0.001470588,1,0.001470588,0.004411764,680,650,BP_1919_1929,0.96,20,BP_1983_1992,0.03,0.03
E01000018,LSOA,Barking and Dagenham 009D,0,0,0.031746032,20,0.936507937,590,0.047619048,30,0,0,0,0,0,0,0,0,630,LSOA,Barking and Dagenham 009D,Barking and Dagenham 009D,0,0,1,0.001587302,610,0.968253968,0,0,0.968253968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.031746032,0,0,0,0,0.031746032,630,610,BP_1919_1929,0.97,20,BP_2000_2009,0.03,0.03
E01000019,LSOA,Barking and Dagenham 023A,0,0,0.058823529,30,0.823529412,420,0.117647059,60,0,0,0,0,0,0,0,0,510,LSOA,Barking and Dagenham 023A,Barking and Dagenham 023A,0,0,10,0.019607843,330,0.647058824,160,0.31372549,0.960784314,0,0,0,0,0,0,0,0,0,20,0.039215686,0,0,0.039215686,1,0.001960784,0,0,1,0.001960784,0.003921568,510,330,BP_1919_1929,0.65,160,BP_1930_1939,0.31,0.48
E01000020,LSOA,Barking and Dagenham 023B,0,0,0.181818182,120,0.636363636,420,0.181818182,120,0,0,0,0,0,0,0,0,660,LSOA,Barking and Dagenham 023B,Barking and Dagenham 023B,0,0,0,0,450,0.681818182,10,0.015151515,0.696969697,90,0.136363636,10,0.015151515,0,0,0.151515151,30,0.045454545,20,0.03030303,30,0.045454545,0.12121212,30,0.045454545,0,0,1,0.001515152,0.046969697,660,450,BP_1919_1929,0.68,90,BP_1945_1954,0.14,0.2
